name,description,close,market_cap_basic,price_earnings_ttm,price_book_fq,return_on_equity,return_on_assets,free_cash_flow_ttm,cash_n_short_term_inv,total_debt,total_revenue_yoy_growth_ttm,net_income_yoy_growth_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,average_volume_30d_calc,sector,industry,symbol,market,traded_value_30d,quick_pr_roe,implied_roe_from_pe_pb,quick_pr_pe_pb,market_pr_factor,market_normalized_quick_pr,pr_path_gap_percent,model,fcf_positive,rank_penalty,screen_rank,stage1_tier
002032,"Zhejiang Supor Co., Ltd. Class A",40.02,31287994843.0,15.745986779981116,6.339008662678255,39.8164994657632,16.4658414028274,2446577040.0,,2832032531.79,-1.0289337374436742,-9.7787767427669,-9.535504538174054,6.65822784810127,2163633.3333333335,Consumer Durables,Electronics/Appliances,SZSE:002032,A,86588606.00000001,0.3954638652632066,40.25793207661932,0.3911275608993822,1.0,0.3954638652632066,1.108667554353171,stable_or_general,True,0.18,0.5754638652632066,priority
000651,"Gree Electric Appliances, Inc. of Zhuhai Class A",38.98,206552855170.0,7.791480941054187,1.4659723669097917,19.6322235112199,6.96422965064431,44372749650.0,,106263968359.09,-12.915115176127786,-14.148026898616642,-15.137482401234873,7.74393391843056,47070122.16666665,Producer Manufacturing,Industrial Machinery,SZSE:000651,A,1834793362.056666,0.3968720576454991,18.815067097006153,0.41410859184732673,1.0,0.3968720576454991,4.162322284822917,cyclical,True,0.18,0.5768720576454991,priority
688278,"Xiamen Amoytop Biotech Co., Ltd. Class A",56.96,22601451273.0,21.672627653907618,7.293643415617309,36.8607363725357,27.805180767951704,403039070.0,,769528267.4699999,28.297631309078085,13.53246122129721,12.407510371669316,1.11973993137078,4874372.933333334,Health Technology,Biotechnology,SSE:688278,A,277644282.2826667,0.5879597041923319,33.6537107179168,0.6439892419461902,1.0,0.5879597041923319,8.700384122028549,health_special,True,0.0,0.5879597041923319,priority
600867,"Tonghua Dongbao Pharmaceutical Co., Ltd. Class A",8.02,15478772315.0,12.009583707696915,2.276804978310736,20.0221084650474,16.5375470531996,364513020.0,,746687407.2199999,18.503601962321206,219.83158983965572,219.36872309899567,3.72208436724566,29447118.83333331,Health Technology,Pharmaceuticals: Major,SSE:600867,A,236165893.04333314,0.5998161346824211,18.958233971520066,0.6334758673059034,1.0,0.5998161346824211,5.313498802508942,health_special,True,0.0,0.5998161346824211,priority
002555,"37 Interactive Entertainment Network Technology Group Co., Ltd.",18.67,39548875512.0,12.573237255034009,2.914782804186546,24.1145951515891,14.9938047341424,2938140470.0,,4523860072.46,-11.554227990674292,16.29316460712919,16.298558897243122,5.62841530054645,41359013.39999998,Technology Services,Packaged Software,SZSE:002555,A,772172780.1779997,0.521395328264736,23.182436989483676,0.5423604628252693,1.0,0.521395328264736,3.865535192466185,technology_strict,True,0.08,0.601395328264736,priority
601717,ZCZL Industrial Technology Group Company Limited Class A,14.47,24198364707.079033,7.5164926497324815,1.0906711811056857,14.8006840965094,6.72909152590591,1410049700.0,,11945135810.06,5.503017541284894,-21.128874412482613,-20.499690274623166,8.68658790826963,19203998.133333333,Producer Manufacturing,Auto Parts: OEM,SSE:601717,A,277881852.98933333,0.5078476508734603,14.510373813037702,0.5180082020339714,1.0,0.5078476508734603,1.9614653051081898,cyclical,True,0.1,0.6078476508734603,priority
600211,Tibet Rhodiola Pharmaceutical Holding Co. Class A,38.06,12254575498.0,12.48646697942981,3.0957838449863107,24.2383468614797,16.1711373271035,900525850.0,,1170672998.43,1.4967584281873332,-1.698102199287938,-1.3080783551886026,4.62125197264598,4988236.333333333,Health Technology,Pharmaceuticals: Major,SSE:600211,A,189852274.84666666,0.5151534075648398,24.7931128163499,0.5036264333535225,1.0,0.5151534075648398,2.2887945206851112,health_special,True,0.1,0.6151534075648398,priority
002001,Zhejiang NHU Co. Ltd. Class A,26.86,82126074591.0,11.453180965376086,2.363115687973712,21.9432136847937,15.8294752221287,6661824930.0,,7426333715.29,6.1862441618762265,-1.319566760074879,-0.9335529928610655,3.74251497005988,33837749.06666666,Health Technology,Pharmaceuticals: Other,SZSE:002001,A,908881939.9306666,0.521946380776165,20.632832879508374,0.5550949320561251,1.0,0.521946380776165,5.971690492142445,health_special,True,0.1,0.6219463807761649,priority
601225,"Shaanxi Coal Industry Co., Ltd. Class A",26.24,254396797781.0,12.471482889733839,2.5153205452033967,21.4608442934815,8.42614506650608,24770619580.0,,27281909185.72,-10.316478099847764,4.919085902995427,4.9167248429241175,3.61280487804878,39442350.233333334,Energy Minerals,Coal,SSE:601225,A,1034967270.1226666,0.5811273181606335,20.16857632281992,0.6183620841706543,1.0,0.5811273181606335,6.021515057793369,cyclical,True,0.08,0.6611273181606334,priority
600285,"Henan Lingrui Pharmaceutial Co., Ltd. Class A",19.61,11042644766.0,14.251453488372094,3.441334978248166,24.7762782477452,13.7750718477718,925258060.0,,446077046.29,5.9116906408138945,-0.4714013538607227,-0.4557621355711636,5.62659846547315,11633380.900000004,Health Technology,Pharmaceuticals: Major,SSE:600285,A,228130599.44900006,0.575205579541353,24.147256145178357,0.5901893533033059,1.0,0.575205579541353,2.538807872098736,health_special,True,0.1,0.675205579541353,priority
