序号,代码,名称,研报数,机构投资评级(近六个月)-买入,机构投资评级(近六个月)-增持,机构投资评级(近六个月)-中性,机构投资评级(近六个月)-减持,机构投资评级(近六个月)-卖出,2025预测每股收益,2026预测每股收益,2027预测每股收益,2028预测每股收益
103,603195,公牛集团,23,15.0,8.0,0.0,0.0,0.0,2.257141454447,2.36025,2.500458333333,2.642173913043
104,601088,中国神华,23,18.0,5.0,0.0,0.0,0.0,2.436624176512,2.733043478261,2.848695652174,2.961304347826
105,300054,鼎龙股份,23,16.0,7.0,0.0,0.0,0.0,0.754436370954,1.139086956522,1.500173913043,1.931095238095
106,002920,德赛西威,23,16.0,7.0,0.0,0.0,0.0,4.111170506922,4.752173913043,5.597727272727,6.601428571429
107,605338,巴比食品,23,19.0,4.0,0.0,0.0,0.0,1.139720834237,1.248695652174,1.431304347826,1.62
108,000921,海信家电,23,16.0,7.0,0.0,0.0,0.0,2.301006039168,2.199130434783,2.42652173913,2.670909090909
109,002293,罗莱生活,23,19.0,4.0,0.0,0.0,0.0,0.620762257567,0.736818181818,0.823636363636,0.914761904762
110,002558,巨人网络,23,19.0,4.0,0.0,0.0,0.0,0.923155472508,2.341304347826,2.660434782609,2.897619047619
111,003010,若羽臣,23,16.0,7.0,0.0,0.0,0.0,0.62496520106,1.248043478261,1.805652173913,2.432863636364
112,002463,沪电股份,23,18.0,5.0,0.0,0.0,0.0,1.986270368622,3.103043478261,4.799565217391,7.143333333333
113,600970,中材国际,23,18.0,5.0,0.0,0.0,0.0,1.091665057888,1.122173913043,1.223869565217,1.327545454545
114,600919,江苏银行,22,15.0,7.0,0.0,0.0,0.0,1.880028009399,1.985909090909,2.182272727273,2.399047619048
115,002555,三七互娱,22,17.0,5.0,0.0,0.0,0.0,1.310992994663,1.391818181818,1.534545454545,1.667619047619
116,000423,东阿阿胶,22,16.0,6.0,0.0,0.0,0.0,2.717518280728,3.077173913043,3.500869565217,3.955772727273
117,001215,千味央厨,22,13.0,9.0,0.0,0.0,0.0,0.65428544801,0.89,1.060434782609,1.247391304348
118,300059,东方财富,22,16.0,6.0,0.0,0.0,0.0,0.763774635809,0.962272727273,1.075909090909,1.170476190476
119,000651,格力电器,22,17.0,5.0,0.0,0.0,0.0,5.177825844568,5.238695652174,5.522608695652,5.814545454545
120,002064,华峰化学,22,16.0,6.0,0.0,0.0,0.0,0.374314656685,0.717,0.836454545455,0.934952380952
121,600585,海螺水泥,22,13.0,9.0,0.0,0.0,0.0,1.537422049845,1.459090909091,1.686818181818,1.93380952381
122,002867,周大生,22,15.0,7.0,0.0,0.0,0.0,1.016353306961,1.149523809524,1.283333333333,1.429
123,688169,石头科技,22,16.0,6.0,0.0,0.0,0.0,5.252615698615,7.53,9.625818181818,11.623571428571
124,300832,新产业,22,13.0,9.0,0.0,0.0,0.0,2.062127358989,2.360434782609,2.761304347826,3.238636363636
125,300957,贝泰妮,22,14.0,7.0,1.0,0.0,0.0,1.193861340534,1.522727272727,1.770454545455,2.001428571429
126,601688,华泰证券,22,15.0,7.0,0.0,0.0,0.0,1.81497112469,2.124761904762,2.348095238095,2.541578947368
127,002244,滨江集团,22,16.0,6.0,0.0,0.0,0.0,0.680172226223,0.775909090909,0.824090909091,0.8565
128,300014,亿纬锂能,22,17.0,5.0,0.0,0.0,0.0,1.902318824597,3.327954545455,4.534136363636,5.647857142857
129,603193,润本股份,22,16.0,6.0,0.0,0.0,0.0,0.777327805966,0.93625,1.10375,1.287826086957
130,605098,行动教育,22,18.0,4.0,0.0,0.0,0.0,2.682772598911,3.389523809524,4.007619047619,4.686666666667
131,603806,福斯特,22,16.0,6.0,0.0,0.0,0.0,0.295036908979,0.607571428571,0.785380952381,0.98815
