序号,代码,名称,研报数,机构投资评级(近六个月)-买入,机构投资评级(近六个月)-增持,机构投资评级(近六个月)-中性,机构投资评级(近六个月)-减持,机构投资评级(近六个月)-卖出,2025预测每股收益,2026预测每股收益,2027预测每股收益,2028预测每股收益
109,000651,格力电器,23,18.0,5.0,0.0,0.0,0.0,5.177825844568,5.21375,5.499166666667,5.779565217391
110,600919,江苏银行,23,16.0,7.0,0.0,0.0,0.0,1.880028009399,1.982608695652,2.177826086957,2.392727272727
111,601211,国泰海通,23,17.0,6.0,0.0,0.0,0.0,1.581770890139,1.881363636364,2.000454545455,2.201
112,300957,贝泰妮,23,15.0,7.0,1.0,0.0,0.0,1.193861340534,1.520434782609,1.773913043478,2.007272727273
113,300054,鼎龙股份,23,16.0,7.0,0.0,0.0,0.0,0.754436370954,1.144739130435,1.509304347826,1.950619047619
114,001215,千味央厨,23,14.0,9.0,0.0,0.0,0.0,0.65428544801,0.824583333333,1.003333333333,1.1925
115,002003,伟星股份,23,19.0,4.0,0.0,0.0,0.0,0.542184974899,0.596956521739,0.681304347826,0.765454545455
116,603225,新凤鸣,23,19.0,4.0,0.0,0.0,0.0,0.607076534633,1.565652173913,1.924347826087,2.230909090909
117,000921,海信家电,23,16.0,7.0,0.0,0.0,0.0,2.301006039168,2.192173913043,2.414782608696,2.655909090909
118,002293,罗莱生活,23,19.0,4.0,0.0,0.0,0.0,0.620762257567,0.737727272727,0.824545454545,0.914285714286
119,002244,滨江集团,23,16.0,7.0,0.0,0.0,0.0,0.680172226223,0.78,0.815652173913,0.845238095238
120,002558,巨人网络,23,19.0,4.0,0.0,0.0,0.0,0.923155472508,2.31347826087,2.625652173913,2.863333333333
121,003010,若羽臣,23,16.0,7.0,0.0,0.0,0.0,0.62496520106,1.249956521739,1.780652173913,2.373
122,600160,巨化股份,23,17.0,6.0,0.0,0.0,0.0,1.401327667096,2.128260869565,2.559130434783,2.964285714286
123,300014,亿纬锂能,23,18.0,5.0,0.0,0.0,0.0,1.902318824597,3.319347826087,4.526565217391,5.626590909091
124,601233,桐昆股份,22,17.0,5.0,0.0,0.0,0.0,0.854476994468,2.760909090909,3.091818181818,3.417142857143
125,002867,周大生,22,15.0,7.0,0.0,0.0,0.0,1.016353306961,1.12380952381,1.25380952381,1.3975
126,002352,顺丰控股,22,14.0,8.0,0.0,0.0,0.0,2.111408456126,2.321090909091,2.630454545455,2.969952380952
127,002555,三七互娱,22,17.0,5.0,0.0,0.0,0.0,1.310992994663,1.385,1.524545454545,1.650476190476
128,601838,成都银行,22,13.0,8.0,1.0,0.0,0.0,3.134055585204,3.282727272727,3.495454545455,3.740476190476
129,002493,荣盛石化,22,17.0,4.0,1.0,0.0,0.0,0.084921085002,0.857136363636,0.977363636364,1.108238095238
130,002064,华峰化学,22,16.0,6.0,0.0,0.0,0.0,0.374314656685,0.717,0.836454545455,0.934952380952
131,600585,海螺水泥,22,13.0,9.0,0.0,0.0,0.0,1.537422049845,1.436363636364,1.649090909091,1.876666666667
132,300059,东方财富,22,16.0,6.0,0.0,0.0,0.0,0.763774635809,0.965454545455,1.079090909091,1.172857142857
133,688169,石头科技,22,16.0,6.0,0.0,0.0,0.0,5.252615698615,7.529090909091,9.624909090909,11.622619047619
134,601688,华泰证券,22,15.0,7.0,0.0,0.0,0.0,1.81497112469,2.238571428571,2.479523809524,2.696842105263
135,002920,德赛西威,22,15.0,7.0,0.0,0.0,0.0,4.111170506922,4.740454545455,5.588571428571,6.596
136,000423,东阿阿胶,22,16.0,6.0,0.0,0.0,0.0,2.717518280728,3.077173913043,3.500869565217,3.955772727273
137,603019,中科曙光,22,16.0,6.0,0.0,0.0,0.0,1.487437213821,2.048181818182,2.607727272727,3.2945
138,601658,邮储银行,22,15.0,7.0,0.0,0.0,0.0,0.72779017502,0.728571428571,0.755714285714,0.787
139,002271,东方雨虹,22,15.0,7.0,0.0,0.0,0.0,0.047417874787,0.712727272727,0.997727272727,1.2325
140,002563,森马服饰,22,15.0,7.0,0.0,0.0,0.0,0.3312493991,0.408636363636,0.45,0.49619047619
141,603806,福斯特,22,16.0,6.0,0.0,0.0,0.0,0.295036908979,0.61519047619,0.79919047619,1.00165
142,603193,润本股份,22,16.0,6.0,0.0,0.0,0.0,0.777327805966,0.935416666667,1.103333333333,1.287391304348
143,605098,行动教育,22,18.0,4.0,0.0,0.0,0.0,2.682772598911,3.389523809524,4.007619047619,4.686666666667
144,001328,登康口腔,22,14.0,8.0,0.0,0.0,0.0,1.051716230809,1.270565217391,1.514869565217,1.807318181818
145,601058,赛轮轮胎,22,19.0,3.0,0.0,0.0,0.0,1.07128518173,1.378227272727,1.658090909091,1.946333333333
146,002938,鹏鼎控股,22,19.0,3.0,0.0,0.0,0.0,1.612851924261,2.277727272727,3.359545454545,4.58380952381
147,002831,裕同科技,22,16.0,6.0,0.0,0.0,0.0,1.235981998731,1.604956521739,1.878130434783,2.141136363636
148,603889,新澳股份,22,20.0,2.0,0.0,0.0,0.0,0.505809100386,0.668095238095,0.753095238095,0.834666666667
149,600141,兴发集团,22,15.0,7.0,0.0,0.0,0.0,1.241576091314,1.735909090909,2.086363636364,2.412857142857
150,000526,学大教育,21,19.0,2.0,0.0,0.0,0.0,1.600988429541,2.658095238095,3.201904761905,3.755238095238
151,601077,渝农商行,21,13.0,8.0,0.0,0.0,0.0,1.067924716034,1.1425,1.242,1.356842105263
152,301376,致欧科技,21,13.0,8.0,0.0,0.0,0.0,0.834365175179,1.1915,1.5047,1.819105263158
